NO.,CUSTOMER,PROJECT NAME,MATERIAL / JASA,NO. PO,NO. INVOICE,TGL INVOICE, PROJECT PRICE ,%, RP , PPN , PPH , TOTAL PRICE ,KET,LUNAS/BLM,,
161,SEMPANA SARANA TEKNIK,"Y-48, LIV.CORE 200A,200B, SPROCKET 9 GIGI",MATERIAL,067/VIII/SST/18,ZSBI-INV/18/IX/1385,06-Sep-18,"27,200,000",100%,"27,200,000","2,720,000", - ,"29,920,000",LUNAS 15/11/2018,LUNAS,,
162,SANTOSO GEMABAHAGIA,SPROCKET 9 GIGI,MATERIAL,PO/0084/IX/2018,ZSBI-INV/18/IX/1386,06-Sep-18,"740,000",100%,"740,000","74,000", - ,"814,000",LUNAS 14/09/2018,LUNAS,,
163,ELANG PERDANA TYRE INDUSTRY,GEN.SERVICES MAN POWER,JASA & MATERIAL,18/09/PO/05659,ZSBI-INV/18/IX/1387,12-Sep-18,"8,550,000",100%,"18,000,000","1,800,000", - ,"19,800,000",LUNAS 12/10/2018,LUNAS,,
,,MATERIAL PEKERJAAN KEBOCORAN PIPA,,,,,"9,450,000",,,,,,,,,
164,JIALE INDONESIA TEXTILE,PIPING INSTALL DYEING MACHINE 2UNIT,JASA & MATERIAL,ZS.JL-ER/18/IX/081,ZSBI-INV/18/IX/1388,07-Sep-18,"132,661,770",40%,"53,064,708","5,306,471", - ,"58,371,179",LUNAS 13/09/2018,LUNAS,,
,,PIPING INSTALL YOLLY MACHINE 10UNIT,,,,,,,,,,,,,,
,,INSULATION WORK DYEING MACHINE 2UNIT (INCLUDE ALL MATERIALS) ,,,ZSBI-INV/18/X/1410,24-Oct-18,,60%,"79,597,062","7,959,706", - ,"87,556,768",LUNAS 12/11/2018,LUNAS,,
,,INSULATION WORK YOLLY MACHINE 10UNIT (INCLUDE ALL MATERIALS) ,,,,,,,,,,,,,,
165,BERKAH ABADI ENGINEERING,GRATE BAR 318,MATERIAL,056/BAE/VII/18,ZSBI-INV/18/IX/1389,12-Sep-18,"5,750,000",100%,"5,750,000","575,000", - ,"6,325,000",LUNAS 05/11/2018,LUNAS,,
166,ANUGERAH DWI PRATAMA,Y-47 TENGAH,MATERIAL,129/ADP-PO/IX/2018,ZSBI-INV/18/IX/1390,13-Sep-18,"1,750,000",100%,"1,750,000","175,000", - ,"1,925,000",LUNAS 22/10/2018,LUNAS,,
167,DUCON TETRABLOK INDONESIA,"TRAVEL GRATE 252 MIRING, AS.CHAIN DIA.18mm X1710cm",MATERIAL,182000454,ZSBI-INV/18/IX/1391,13-Sep-18,"4,725,000",100%,"4,725,000","472,500", - ,"5,197,500",LUNAS 28/09/2018,LUNAS,,
168,GLOBAL INTERITI INDUSTRY,"CHAIN TRAVELL.160x60, LEFT,RIGHT,MIDDLE HOLDER 160,ROLLER268, LINER268, PIN 15.5, LONG AS L=1300",MATERIAL,OPP-1808-00007,ZSBI-INV/18/IX/1393,20-Sep-18,"164,950,000",100%,"164,950,000","16,495,000", - ,"181,445,000",LUNAS 06/11/2018,LUNAS,,
169,PG GORONTALO,"CHAIN LINK ELEVATOR (7 RING CHAIN), SHACKLE CHAIN LINK ELEVATOR 18 (U-BOLT 18)",MATERIAL,2545/PGD/SBY/VIII/18,ZSBI-INV/18/IX/1394,20-Sep-18,"22,820,000",100%,"22,820,000","2,282,000", - ,"25,102,000",LUNAS 02/11/2018,LUNAS,,
170,ANUGERAH DWI PRATAMA,"CHAIN GRATE T18, Y-47 TGH",MATERIAL,133/ADP-PO/IX/2018,ZSBI-INV/18/IX/1395,18-Sep-18,"18,800,000",100%,"18,800,000","1,880,000", - ,"20,680,000",LUNAS 22/10/2018,LUNAS,,
171,SORINI AGRO ASIA CORPORINDO (CARGILL),ECONOMIZER TUBE BOILER TAIHU,MATERIAL,4502308541,ZSBI-INV/18/IX/1396,20-Sep-18,"33,750,000",100%,"45,150,000","4,515,000", - ,"49,665,000",LUNAS 25/10/2018,LUNAS,,
,,ELBOW ECONOMIZER BOILER TAIHU,,,,,"11,400,000",,,,,,,,,
172,ANUGERAH DWI PRATAMA,Y-47 TENGAH,MATERIAL,141/ADP-PO/IX/2018,ZSBI-INV/18/IX/1398,25-Sep-18,"6,700,000",100%,"6,700,000","670,000", - ,"7,370,000",LUNAS 19/11/2018,LUNAS,,
173,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mm X 1710cm,MATERIAL,182000492,ZSBI-INV/18/IX/1399,27-Sep-18,"4,800,000",100%,"4,800,000","480,000", - ,"5,280,000",LUNAS 19/10/2018,LUNAS,,
174,ANUGERAH DWI PRATAMA,"DRIVE LINK 64 (Y-60), CHAIN GRATE T18",MATERIAL,146/ADP-PO/IX/2018,ZSBI-INV/18/IX/1400,28-Sep-18,"2,020,000",100%,"2,020,000","202,000", - ,"2,222,000",LUNAS 19/11/2018,LUNAS,,
175,ELANG PERDANA TYRE INDUSTRY,"SIGHT GLASS B49X-2,5 L=440 (COLOR)",MATERIAL,18/09/PO/05565,ZSBI-INV/18/X/1401,03-Oct-18,"8,460,000",100%,"8,460,000","846,000", - ,"9,306,000",LUNAS 31/10/2018,LUNAS,,
176,ELANG PERDANA TYRE INDUSTRY,GEN.SERVICE Material LONG AS L=2780,JASA & MATERIAL,18/10/PO/06286,ZSBI-INV/18/X/1402,05-Oct-18,"37,525,000",30%,"25,005,000","2,500,500", - ,"27,505,500",LUNAS 25/10/2018,LUNAS,,
,,GEN. SERVICE MAN POWER OVERHAUL CHAIN GRATE BOILER 20T,,,ZSBI-INV/18/X/1413,30-Oct-18,"45,825,000",70%,"58,345,000","5,834,500", - ,"64,179,500",LUNAS 03/12/2018,LUNAS,,
177,SUTERA INDAH UTAMA,U-BOLT 14,MATERIAL,-,ZSBI-INV/18/X/1403,05-Oct-18,"600,000",100%,"600,000","60,000", - ,"660,000",LUNAS 10/10/2018,LUNAS,,
178,ANUGERAH DWI PRATAMA,"T 18, Y-47 PINGGIR",MATERIAL,156/ADP-PO/X/2018,ZSBI-INV/18/X/1404,08-Oct-18,"6,900,000",100%,"6,900,000","690,000", - ,"7,590,000",LUNAS 19/11/2018,LUNAS,,
179,ANUGERAH DWI PRATAMA,U-BOLT 14 + RING + MUR,MATERIAL,159/ADP-PO/X/2018 (REVISI),ZSBI-INV/18/X/1405,10-Oct-18,"1,100,000",100%,"1,100,000","110,000", - ,"1,210,000",LUNAS 19/11/2018,LUNAS,,
180,ANUGERAH DWI PRATAMA,U-BOLT 14 + RING + MUR,MATERIAL,162/ADP-PO/X/2018,ZSBI-INV/18/X/1406,11-Oct-18,"1,100,000",100%,"1,100,000","110,000", - ,"1,210,000",LUNAS 19/11/2018,LUNAS,,
181,ANUGERAH DWI PRATAMA,GRATE BAR 288,MATERIAL,164/ADP-PO/X/2018,ZSBI-INV/18/X/1407,12-Oct-18,"35,391,000",100%,"35,391,000","3,539,100", - ,"38,930,100",LUNAS 19/11/2018,LUNAS,,
182,ANUGERAH DWI PRATAMA,GRATE BAR 219,MATERIAL,166/ADP-PO/X/2018,ZSBI-INV/18/X/1408,15-Oct-18,"8,450,000",100%,"8,450,000","845,000", - ,"9,295,000",LUNAS 19/11/2018,LUNAS,,
183,ANUGERAH DWI PRATAMA,U-BOLT 14 + RING + MUR,MATERIAL,172/ADP-PO/X/2020,ZSBI-INV/18/X/1409,22-Oct-18,"4,400,000",100%,"4,400,000","440,000", - ,"4,840,000",LUNAS 27/12/2018,LUNAS,,
184,JIALE INDONESIA TEXTILE,ADD.WORK FOR INSTALL & INSULATION DYEING & YOLLY MACHINES (INCLUDE STAINLESS STEEL),JASA & MATERIAL,ZS.JL-ER/18/IX/081,ZSBI-INV/18/X/1411,24-Oct-18,"23,346,730",100%,"23,346,730","2,334,673", - ,"25,681,403",LUNAS 12/11/2018,LUNAS,,
185,BATARA ELOK SEMESTA TERPADU,"SPROCKET 6GIGI, PIN 15,5, GRATE BAR 367mm",MATERIAL,OPP-1810-00367,ZSBI-INV/18/X/1412,25-Oct-18,"43,860,000",100%,"43,860,000","4,386,000", - ,"48,246,000",LUNAS 15/11/2018,LUNAS,,
186,ELANG PERDANA TYRE INDUSTRY,"Y64,LIV.CORE 235, LIV.CORE245, ",MATERIAL,18/10/PO/06805,ZSBI-INV/18/X/1414 ,30-Oct-18,"65,970,000",100%,"72,470,000","7,247,000", - ,"79,717,000",LUNAS 14/02/2019,LUNAS,,
,,MANPOWER (ADD.WORK OVERHAUL SERVICE BOILER 20T),JASA,,,,"6,500,000",,,,,,,,,
187,ANUGERAH DWI PRATAMA,U-BOLT 14 + RING + MUR,MATERIAL,181/ADP-PO/X/2018,ZSBI-INV/18/X/1415,30-Oct-18,"440,000",100%,"440,000","44,000", - ,"484,000",LUNAS 27/12/2018,LUNAS,,
188,MANDALA UTAMA (AGUS),SPAREPARTS,MATERIAL,51MU-technik/311018,ZSBI-INV/18/X/1416,31-Oct-18,"109,130,795",100%,"109,130,795","10,913,080", - ,"120,043,875",INV 31/10/2018,BELUM,,
,,,,,,,,, DP ,,,"-107,500,000",LUNAS 13/11/2018,LUNAS,,
,,,,,,,,, PELUNASAN ,,,"12,543,875",LUNAS 29/11/2018,LUNAS,,
189,PG GORONTALO,CHAIN TRAVELL.190,MATERIAL,3780/PGD/SBY/XI/18,ZSBI-INV/18/XI/1417,05-Nov-18,"381,420,000",20%,"76,284,000","7,628,400", - ,"83,912,400",LUNAS 21/11/2018,LUNAS,,
,,HOLDER TENGAH 190,,,,,,,,,,,,,,
,,HOLDER KANAN 190,,,,,,,,,,,,,,
,,GRATE BAR 365,,,ZSBI-INV/18/XII/1442 GANTI KE ZSBI-INV/19/II/1461,26/12/2018 GANTI KE 01-Feb-2019,,80%,"305,136,000","30,513,600", - ,"335,649,600",LUNAS 08/02/2019,LUNAS,,
,,LONG AS DIA.14x4174mm (+NUTS M12),,,,,,,,,,,,,,
,,HOLDER KIRI 190,,,,,,,,,,,,,,
190,OCEAN ASIA INDUSTRY,WLG COLOR B49X-2.5 L=350,MATERIAL,183171,ZSBI-INV/18/XI/1418,05-Nov-18,"4,200,000",100%,"4,200,000", - , - ,"4,200,000",LUNAS 28/11/2018,LUNAS,,
191,OCEAN ASIA INDUSTRY,GY10-15 ID FAN IMPELLER,JASA & MATERIAL,183172,ZSBI-INV/18/XI/1419,05-Nov-18,"22,500,000",40%,"9,000,000", - , - ,"9,000,000",LUNAS 28/11/2018,LUNAS,,
,,BONGKAR PSG IMPELLER & BALANCING,,,ZSBI-INV/19/I/1451,11-Jan-19,,60%,"13,500,000", - , - ,"13,500,000",LUNAS 02/04/2019,LUNAS,,
192,ABADI MAKMUR PERKASA,GRATE BAR 235 A & B,MATERIAL,-,ZSBI-INV/18/XI/1420,06-Nov-18,"12,540,000",100%,"12,540,000","1,254,000", - ,"13,794,000",LUNAS 06/11/2018,LUNAS,,
193,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mmx1710cm,MATERIAL,182000610,ZSBI-INV/18/XI/1421,13-Nov-18,"2,400,000",100%,"2,400,000","240,000", - ,"2,640,000",LUNAS 27/11/2018,LUNAS,,
194,DUA KUDA INDONESIA,CHAIN GRATE T18,MATERIAL,-,ZSBI-INV/18/XI/1422,13-Nov-18,"6,000,000",100%, BATAL ,,,,INV 13/11/2018,BATAL,,
195,ANUGERAH DWI PRATAMA,SAFETY VALVE DN50 PN16,MATERIAL,191/ADP-PO/XI/2018,ZSBI-INV/18/XI/1423,14-Nov-18,"3,700,000",100%,"3,700,000","370,000", - ,"4,070,000",LUNAS 27/12/2018,LUNAS,,
196,ABADI MAKMUR PERKASA,"GRATE BAR 231A-B,LONG SHAFT D18 L=1680,Y-64 TGH,Y-64 PNGGIR",MATERIAL,708/AMP/XI/2018,ZSBI-INV/18/XI/1424,15-Nov-18,"174,400,000",23%,"36,363,636","3,636,364", - ,"40,000,000",LUNAS 15/11/2018,LUNAS,,
,,,,,ZSBI-INV/18/XII/1438,21-Dec-18,,77%,"138,036,364","13,803,636", - ,"151,840,000",LUNAS 26/12/2018,"LUNAS,GIRO",,
197,SORINI AGRO ASIA CORPORINDO (CARGILL),"11 RING CHAIN D18, U-BOLT 18 INC.MUR",MATERIAL,4502366380,ZSBI-INV/18/XI/1425,16-Nov-18,"15,500,000",100%,"15,500,000","1,550,000", - ,"17,050,000",LUNAS 27/12/2018,LUNAS,,
198,POLINDO UTAMA,"BOILER 1 SET KAP.4TON/HR DZL4-1,25 1,25MPA ALL PRESSURE (WET SCRUBER,CHIMNEY)",MATERIAL,PO/PU/18/11/004131,ZSBI-INV/18/XI/1426,22-Nov-18," Total USD 86.000 : (KURS RP 14,635) ",30%,"377,583,000","37,758,300", - ,"415,341,300",LUNAS 22/11/2018,LUNAS,,
,,1.Boiler Body Model DZL4-1 Kap.4 Ton,,,,, 1. USD 25.800 ,,,,,,,,,
,,2.Boiler Auxiliary Machine,,,ZSBI-INV/19/I/1452,16-Jan-19, 2. USD 34.400 ,40%,"503,444,000","50,344,400", - ,"553,788,400","LUNAS 17/01/2019 TRF= 536,571,200 ",LUNAS,,
,,"3.Boiler Electric Control,Instrument & Valve",,,ZSBI-INV/19/I/1459,25-Jan-19, 3. USD 17.200 ,20%,"251,722,000","25,172,200", - ,"276,894,200","LUNAS 25/01/2019 TRF= 269,307,280",LUNAS,,
,,4.Boiler Spareparts,,,ZSBI-INV/19/IV/1497,05-Apr-19, 4. USD 8.600 ,10%,"125,861,000","12,586,100", - ,"138,447,100","LUNAS 11/04/2019 TRF= 134,606,340",LUNAS,,
,,,,,,05-Apr-19, KEKURANGAN PPN (sesuai kurs awal) ,,,"125,861,000","123,256,920","2,604,080",LUNAS 11/04/2019,LUNAS,,
199,SEMPANA SARANA TEKNIK,GEARBOX GL-16P,MATERIAL,089/XI/SST/18,ZSBI-INV/18/XI/1427,22-Nov-18,"42,000,000",100%,"42,000,000","4,200,000", - ,"46,200,000",LUNAS 11/01/2019,LUNAS,,
200,SEMPANA SARANA TEKNIK,LONG PIN DIA.18x2200mm,MATERIAL,091/XI/SST/18,ZSBI-INV/18/XI/1428,22-Nov-18,"6,800,000",100%,"6,800,000","680,000", - ,"7,480,000",LUNAS 11/01/2019,LUNAS,,
201,JIALE INDONESIA TEXTILE,"PEMBONGKARAN FLEXIBLE JOINT 4"" :",JASA & MATERIAL,ZS.JL-ER//18/XI/082,ZSBI-INV/18/XI/1429,23-Nov-18,,100%,"19,300,000","1,930,000", - ,"21,230,000",LUNAS 11/12/2018,LUNAS,,
,,MATERIALS,,,,,"10,750,000",,,,,,,,,
,,MANPOWER (ADD.WORK OVERHAUL SERVICE BOILER 20T),,,,,"6,000,000",,,,,,,,,
,,TRANSPORT,,,,,"2,550,000",,,,,,,,,
202,DUCON TETRABLOK INDONESIA,TRAVEL GRATE 252 (MIRING),MATERIAL,182000643,ZSBI-INV/18/XI/1430,27-Nov-18,"2,875,000",100%,"2,875,000","287,500", - ,"3,162,500",LUNAS 14/12/2018,LUNAS,,
203,ANUGERAH DWI PRATAMA,CHAIN GRATE T:19mm (BELAKANG PIPIH),MATERIAL,198/ADP-PO/XII/2018,ZSBI-INV/18/XII/1431,03-Dec-18,"9,000,000",100%,"9,000,000","900,000", - ,"9,900,000",LUNAS 28/01/2019,LUNAS,,
204,PACIFIC EASTERN COCONUT UTAMA,"ELBOW ECONOMIZER UK.2""",MATERIAL,HOPO1806021,ZSBI-INV/18/XII/1432 ,04-Dec-18,"31,950,000",100%,"31,950,000","3,195,000", - ,"35,145,000",LUNAS CAIR DI 06/02/2019,"GIRO, JTH TEMPO CAIR 04/02/2019",,
,,PIPE ECONOMIZER P=1500mm,,,,,,,,,,,,,,
,,SAFETY VALVE DN50 PN25 10BAR,,,,,,,,,,,,,,
,,SAFETY VALVE DN40 PN16 10BAR,,,,,,,,,,,,,,
,,VALVE BLOWDOWN DN50 PN25 FLANGE,,,,,,,,,,,,,,
205,PACIFIC EASTERN COCONUT UTAMA,CHAIN GRATE UK.350,MATERIAL,HOPO1810004,ZSBI-INV/18/XII/1433 ,04-Dec-18,"27,000,000",100%,"27,000,000","2,700,000", - ,"29,700,000",LUNAS CAIR DI 06/02/2019,"GIRO, JTH TEMPO CAIR 04/02/2019",,
206,SORINI AGRO ASIA CORPORINDO (CARGILL),"11 RING CHAIN D18, U-BOLT 18 INC.MUR",MATERIAL,4502392724,ZSBI-INV/18/XII/1434,13-Dec-18,"15,500,000",100%,"15,500,000","1,550,000", - ,"17,050,000",LUNAS 17/01/2019,LUNAS,,
207,ANUGERAH DWI PRATAMA,SAFETY VALVE DN40 PN16,MATERIAL,210/ADP-PO/XII/2018,ZSBI-INV/18/XII/1435,19-Dec-18,"6,200,000",100%,"6,200,000","620,000", - ,"6,820,000",LUNAS 28/01/2019,LUNAS,,
208,PACIFIC EASTERN COCONUT UTAMA,"WLG COLOR B49X-2.5 L=440, PIPA ECONOMIZER, ELBOW ECONO.UK.2""",MATERIAL,HOPO1812017,ZSBI-INV/18/XII/1436 ,20-Dec-18,"14,850,000",100%,"14,850,000","1,485,000", - ,"16,335,000",LUNAS CAIR DI 18/02/2019,"GIRO, JTH TEMPO CAIR 15/02/2019",,
209,MANDALA UTAMA (AGUS),CHAIN SMALL TRAVELL. UK.160x6mm,MATERIAL,53MU-TECHNIK/211218,ZSBI-INV/18/XII/1437,21-Dec-18,"57,195,000",100%,"51,995,455","5,199,545", - ,"57,195,000",LUNAS 22/01/2019,LUNAS,,
210,SUTERA INDAH UTAMA,"RANTAI 13, U-BOLT 14",MATERIAL,POT1812040,ZSBI-INV/18/XII/1439,21-Dec-18,"3,300,000",100%,"3,300,000","330,000", - ,"3,630,000",LUNAS 26/12/2018,"LUNAS,GIRO",,
211,BROCO AERATED CONCRETE INDUSTRY,"GRATE BAR 318,HOLD.KANAN,KIRI,TGH L=160,SAFETY VALVE DN50 PN25 & DN40 PN25, SPROCKET 8GIGI (18),SPROCKET 6 GIGI (18),LONG SHAFT D.14 L2650",MATERIAL,00150/PMB/SPE/ACI/11/18,ZSBI-INV/18/XII/1440,22-Dec-18,"31,112,000",100%,"31,112,000","3,111,200", - ,"34,223,200",LUNAS 31/01/2019,LUNAS,,
212,BROCO AERATED CONCRETE INDUSTRY,ELECTRODE BOILER P3 (U/ LEVEL SENSOR AIR),MATERIAL,00186/PMB/SPE/ACI/11/18,ZSBI-INV/18/XII/1441,22-Dec-18,"7,000,000",100%,"7,000,000","700,000", - ,"7,700,000",LUNAS 31/01/2019,LUNAS,,
213,DUCON TETRABLOK INDONESIA,Y-GRATE 47 mm,MATERIAL,182000610,ZSBI-INV/18/XII/1443,28-Dec-18,"1,170,000",100%,"1,170,000","117,000", - ,"1,287,000",LUNAS 21/01/2019,LUNAS,,
214,DUCON TETRABLOK INDONESIA,AS CHAIN GRATE DIA.18mm x 1710cm,MATERIAL,182000712,ZSBI-INV/18/XII/1444,28-Dec-18,"1,800,000",100%,"1,800,000","180,000", - ,"1,980,000",INV 28/12/2018,LUNAS,,
215,ELANG PERDANA TYRE INDUSTRY,"SMALL IDLER,ADJ.BUSHING,SPROCKET 6GIGI",MATERIAL,18/11/PO/07645,ZSBI-INV/18/XII/1446,31-Dec-18,"7,060,000",100%,"7,060,000","706,000", - ,"7,766,000",LUNAS 14/02/2019,LUNAS,,
216,ABADI MAKMUR PERKASA,GRATE BAR 231A-B @ 2Pcs,MATERIAL,708/AMP/XI/2018,ZSBI-INV/18/XII/1447,31-Dec-18,"460,000",100%,"460,000","46,000", - ,"506,000",LUNAS 08/01/2019,LUNAS,,
217,SANTOSO GEMABAHAGIA,SPROCKET 9 GIGI,MATERIAL,PO/0109/I/2019,ZSBI-INV/19/I/1448,04-Jan-19,"2,960,000",100%,"2,960,000","296,000", - ,"3,256,000",LUNAS 09/01/2019,LUNAS,,
218,SEMPANA SARANA TEKNIK,LONG PIN DIA.18x2780mm,MATERIAL,086/XI/SST/18,ZSBI-INV/19/I/1449,07-Jan-19,"8,325,000",100%,"8,325,000","832,500", - ,"9,157,500",LUNAS 06/03/2019,LUNAS,,
219,SEMPANA SARANA TEKNIK,WHEEL (14) DIA.150 2PCS,MATERIAL,04/I/SST/19,ZSBI-INV/19/I/1450,07-Jan-19,"530,000",100%,"530,000","53,000", - ,"583,000",LUNAS 06/03/2019,LUNAS,,
220,PACIFIC EASTERN COCONUT UTAMA,SAFETY VALVE DN 50 PN25,MATERIAL,HOPO1901006,ZSBI-INV/19/I/1453,15-Jan-19,"17,050,000",100%,"17,050,000","1,705,000", - ,"18,755,000","LUNAS, CAIR DI 18/03/2019","GIRO, JTH TEMPO CAIR 16/03/2019",,
,,SAFETY VALVE DN 80 PN25,,,,,,,,,,,,,,
,,SAFETY VALVE DN100 PN25,,,,,,,,,,,,,,
221,ELANG PERDANA TYRE INDUSTRY,ONE YEAR MAINTENANCE FEE COAL BOILER 2019,JASA,19/01/PO/00159,ZSBI-INV/19/I/1454,21-Jan-19,"70,000,000",30%,"21,000,000","2,100,000", - ,"23,100,000",LUNAS 30/01/2019,LUNAS,,
,,,,,ZSBI-INV/19/III/1491,18-Mar-19,,20%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 12/04/2019,LUNAS,,
,,,,,ZSBI-INV/19/VIII/1574,07-Aug-19,,20%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 21/8/2019,LUNAS,,
,,,,,ZSBI-INV/19/XI/1659,20-Nov-19,,20%,"14,000,000","1,400,000", - ,"15,400,000",LUNAS 03/12/2019,LUNAS 03/12/2019,,
,,,,,ZSBI-INV/20/I/1659,15-Jan-20,,10%,"7,000,000","700,000","140,000","7,560,000",INV 15/01/2020,LUNAS BCA 24/07/2020,,
222,SEMPANA SARANA TEKNIK,"GRATE BAR 250A-B, 235A-B,ELECTROMAGNETIC SPEDD CONTROL ",MATERIAL,016/II/SST/19,ZSBI-INV/19/I/1455,21-Jan-19,"13,500,000",100%,"13,500,000","1,350,000", - ,"14,850,000",LUNAS 06/03/2019,LUNAS,,
223,ELANG PERDANA TYRE INDUSTRY,MAN POWER,JASA & MATERIAL,19/01/PO/00412,ZSBI-INV/19/I/1456,22-Jan-19,"22,400,000",30%,"40,647,000","4,064,700", - ,"44,711,700",LUNAS 08/03/2019,LUNAS,,
,,PERBAIKAN DINDING BATA API,,,ZSBI-INV/19/II/1470,12-Feb-19,"113,090,000",70%,"94,843,000","9,484,300", - ,"104,327,300",LUNAS 29/03/2019,LUNAS,,
224,ELANG PERDANA TYRE INDUSTRY,"WLG B49X L=350 FLANGE 3/4""",MATERIAL,19/01/PO/00411,ZSBI-INV/19/I/1457,22-Jan-19,"12,690,000",100%,"12,690,000","1,269,000", - ,"13,959,000",LUNAS 18/03/2019,LUNAS,,
225,POLINDO UTAMA,BOILER SITE INSTALLATION (INCLUDE MAN POWER RP 89JT),JASA & MATERIAL,PO/PU/18/11/004128,ZSBI-INV/19/I/1458,23-Jan-19,"253,500,000",40%,"101,400,000","10,140,000", - ,"111,540,000",LUNAS 12/02/2019,LUNAS,,
,,,,,ZSBI-INV/19/III/1486,08-Mar-19,,35.20%,"89,232,000","8,923,200", - ,"98,155,200",LUNAS 13/03/2019,LUNAS,,
,,,,,ZSBI-INV/19/IV/1498,05-Apr-19,,20%,"50,700,000","5,070,000", - ,"55,770,000",LUNAS 11/04/2019,LUNAS,,
,,,,,ZSBI-INV/19/V/1522,15-May-19,,4.80%,"12,168,000","1,216,800", - ,"13,384,800",LUNAS 29/05/2019,BELUM,,
226,RUBICON JAYA ABADI,Y-47 TENGAH,MATERIAL,037/RJA/I/2019,ZSBI-INV/19/I/1460,25-Jan-19,"4,950,000",100%,"4,950,000","495,000", - ,"5,445,000",LUNAS 25/01/2019,LUNAS,,
227,BATARA ELOK SEMESTA TERPADU,U-BOLT Q200 (D14),MATERIAL,OPP-1901-00259,ZSBI-INV/19/II/1462,08-Feb-19,"7,500,000",100%,"7,500,000","750,000", - ,"8,250,000",LUNAS 21/02/2019,LUNAS,,
228,GLOBAL INTERITI INDUSTRY,IMPELLER ID FAN T.OIL,MATERIAL,OPP-1901-00001,ZSBI-INV/19/II/1463,08-Feb-19,"13,500,000",100%,"13,500,000","1,350,000", - ,"14,850,000",LUNAS 19/03/2019,LUNAS,,
229,GLOBAL INTERITI INDUSTRY,IMPELLER ID FAN T.OIL Y6-41-11 NO.5 4C,MATERIAL,OPP-1901-00049,ZSBI-INV/19/II/1464,08-Feb-19,"13,500,000",100%,"13,500,000","1,350,000", - ,"14,850,000",LUNAS 19/03/2019,LUNAS,,
230,RUBICON JAYA ABADI,RANTAI CHAIN GRATE BOILER L=1.986mm,MATERIAL,005/RJA/II/2019,ZSBI-INV/19/II/1465,08-Feb-19,"2,062,500",100%,"9,062,500","906,250", - ,"9,968,750",LUNAS 08/02/2019,LUNAS,,
,,Y-47 ,,,,,"7,000,000",,,,,,,,,
230,ANUGERAH DWI PRATAMA,SAFETY VALVE DN 80 PN40; INLET DN80 OUTLET DN100; 350DEG C A48Y-40,MATERIAL,013/ADP-PO/II/2019,ZSBI-INV/19/II/1467,12-Feb-19,"9,600,000",100%,"9,600,000","960,000", - ,"10,560,000",LUNAS 25/03/2019,LUNAS,,
231,ANUGERAH DWI PRATAMA,"PIPA ECONOMIZER P=1,5MTR (1,6MPA)",MATERIAL,207/ADP-PO/XII/2018,ZSBI-INV/19/II/1466,12-Feb-19,"1,665,000",100%,"1,665,000","166,500", - ,"1,831,500",LUNAS 25/03/2019,LUNAS,,
232,SEMPANA SARANA TEKNIK,LONG PIN DIA.18mm X 3250mm,MATERIAL,015/II/SST/19,ZSBI-INV/19/II/1468,11-Feb-19,"5,000,000",100%,"5,000,000","500,000", - ,"5,500,000","LUNAS bca 02/05/19 : 23,980,000",BELUM,,
233,SEMPANA SARANA TEKNIK,"LIV.CORE 200 A 25PC, B 25PC",MATERIAL,017/II/SST/19,ZSBI-INV/19/II/1469,12-Feb-19,"5,000,000",100%,"5,000,000","500,000", - ,"5,500,000","LUNAS bca 02/05/19 : 23,980,000",BELUM,,
234,RUBICON JAYA ABADI,CHAIN GRATE T24 TYPE KACAMATA (LENGKUNG),MATERIAL,010/RJA/II/2019,ZSBI-INV/19/II/1471,13-Feb-19,"1,325,000",100%,"1,325,000","132,500", - ,"1,457,500",LUNAS 13/02/2019,LUNAS,,
235,BANGUN RINGAN PERKASA,"T-18, T-24, Y-45, LONG PIN L=2.200",MATERIAL,BRP2019/JC-02/0018,ZSBI-INV/19/II/1472,14-Feb-19,"34,400,000",100%,"34,400,000","3,440,000", - ,"37,840,000",LUNAS 18/03/2019,LUNAS,,
236,BERKAH EMAS SUMBER TERANG,CONTROLLER GRADE JD1A-40,MATERIAL,OPP-1902-00008,ZSBI-INV/19/II/1473,14-Feb-19,"1,100,000",100%,"1,100,000","110,000", - ,"1,210,000",LUNAS 06/03/2019,LUNAS,,
237,ELANG PERDANA TYRE INDUSTRY,GEARBOX GL-20P,MATERIAL,19/02/PO/00922,ZSBI-INV/19/II/1474,15-Feb-19,"64,500,000",100%,"64,500,000","6,450,000", - ,"70,950,000",LUNAS 12/04/2019,LUNAS,,
238,ABADI MAKMUR PERKASA,DIGITAL PRESSURE ALARM XMT-1211 D8P,MATERIAL,102/AMP/II/2019,ZSBI-INV/19/II/1475,25-Feb-19,"10,500,000",100%,"10,500,000","1,050,000", - ,"11,550,000",LUNAS 26/02/2019,LUNAS,,
,,,,,,,, TRANSFER TGL 20/02/19 ,,," Rp(1,500,000)","10,050,000",,,,
239,SEMPANA SARANA TEKNIK,CHAIN GRATE 200A & 200B,MATERIAL,026/II/SST/19,ZSBI-INV/19/II/1476,20-Feb-19,"10,000,000",100%,"10,000,000","1,000,000", - ,"11,000,000","LUNAS bca 02/05/19 : 23,980,000",BELUM,,
