NO.,CUSTOMER,PROJECT NAME,MATERIAL / JASA,NO. PO,NO. INVOICE,TGL INVOICE, PROJECT PRICE ,%, RP , PPN , PPH , TOTAL PRICE ,KET,LUNAS/BLM,,
,,TEMPERATUR CONTROL XMT 608,,,,,,,,,,,,,,
42,ELANG PERDANA TYRE INDUSTRY,"SHAFT CHAIN GRATE COAL BOILER 18mm, L=2200mm",MATERIAL,17/10/PO/06360,ZSBI-INV/17/X/1244,26-Oct-17,"19,000,000",100%,"19,000,000","1,900,000", - ,"20,900,000",LUNAS 14/12/2017,LUNAS,,
43,JIALE INDONESIA TEXTILE,INSTALLATION PIPING YOLY MACHINES,JASA,ZS.JL-E/17/XI/067,ZSBI-INV/17/XI/1246,06-Nov-17,"4,637,000",100%,"70,417,000", - , - ,"70,417,000",LUNAS 27/11/2017,LUNAS,,
,,INSULATION YOLY PIPE,,,,,"50,830,000",,,,,,,,,
,,ADD INSULATION FINISHING MACHINE PIPINGS,,,,,"14,950,000",,,,,,,,,
44,BPK GUNAWAN,AIR PRESSURE TRANSMITTER 400 PA ; TYPE: HB-GCP501 ; SIGNAL: 4-20 Ma ; POWER DC 24V,MATERIAL,1897/STE/17,ZSBI-INV/17/XI/1247,01-Nov-17,"3,000,000",100%,"2,727,273","272,727", - ,"3,000,000",LUNAS 07/11/2017,LUNAS,,
45,ELANG PERDANA TYRE INDUSTRY,"U-Bolt d=1/2""",JASA,17/11/PO/06932,ZSBI-INV/17/XI/1249,13-Nov-17,"19,360,000",100%,"19,360,000","1,936,000", - ,"21,296,000",LUNAS 28/12/2017,LUNAS,,
,,Rantai 13 cincin 13mm,,,,,,,,,,,,,,
,,Scrapper for slag off,,,,,,,,,,,,,,
46,MANDALA UTAMA (AGUS),RANTAI 13 MATA 14mm,MATERIAL,27/MU-TECHNIK/131117,ZSBI-INV/17/XI/1250,14-Nov-17,"10,800,000",100%,"9,818,182","981,818", - ,"10,800,000",LUNAS 20/11/2017,LUNAS,,
,,U-BOLT,,,,,,,,,,,,,,
47,BU KRIS,RANTAI CINCIN 13 (14mm),MATERIAL,KRIS2/17/XI/004,ZSBI-INV/17/XI/1251,14-Nov-17,"5,200,000",100%,"4,727,273","472,727", - ,"5,200,000",LUNAS 15/11/2017,LUNAS,,
48,BPK GUNAWAN,SMALL IDLER UK. KECIL,MATERIAL,1901/STE/17,ZSBI-INV/17/XI/1252,02-Nov-17,"960,000",100%,"872,728","87,272", - ,"960,000",LUNAS 07/11/2017,LUNAS,,
49,MANDALA UTAMA (AGUS),RANTAI CINCIN 13,MATERIAL,28/MU-TECHNIK/211117,ZSBI-INV/17/XI/1253,22-Nov-17,"5,050,000",100%,"4,590,900","459,100", - ,"5,050,000",LUNAS 04/12/2017,LUNAS,,
,,U-BOLT,,,,,,,,,,,,,,
,,SPROCKET 6 GIGI,,,,,,,,,,,,,,
50,BATARA ELOK SEMESTA TERPADU,GRADE BAR Q 200 288 mm,MATERIAL,OPP-1711-00258,ZSBI-INV/17/XI/1254,22-Nov-17,"53,000,000",100%,"53,000,000","5,300,000", - ,"58,300,000",LUNAS 11/12/2017,LUNAS,,
,,GRADE BAR D-10 288 mm,,,,,,,,,,,,,,
51,JIALE INDONESIA TEXTILE,ADDITIONAL WORK,JASA,ZS.JL-S17/XI/068,ZSBI-INV/17/XI/1256,28-Nov-17,"12,280,000",100%,"12,280,000", BATAL ,,"12,280,000",INV 28/11/2017,BATAL,,
52,BATARA ELOK SEMESTA TERPADU,ECONOMIZER PIPE BOILER 25 TON,MATERIAL,OPP-1711-00334,ZSBI-INV/17/XII/1257,07-Dec-17,"33,000,000",100%,"33,000,000","3,300,000", - ,"36,300,000",LUNAS 10/01/2018,LUNAS,,
53,BANGUN RINGAN PERKASA,GRATE T18,MATERIAL,BRP2017/JC-12/0348,ZSBI-INV/17/XII/1259,28-Dec-17,"17,591,000",100%,"17,591,000","1,759,100", - ,"19,350,100",LUNAS 29/12/2017,LUNAS,,
,,CHAIN Y-45,,,,,,,,,,,,,,
,,LONG PIN L=2200mm,,,,,,,,,,,,,,
,,GRATE T24,,,,,,,,,,,,,,
54,ANUGERAH DWI PRATAMA,BIG IDDLER,MATERIAL,180/ADP-PO/XII/2017,ZSBI-INV/17/XII/1260,28-Dec-17,"1,300,000",100%,"1,300,000","130,000", - ,"1,430,000",LUNAS 12/01/2018,LUNAS,,
55,ANUGERAH DWI PRATAMA,GRATE BAR 200,MATERIAL,182/ADP-PO/XII/2017,ZSBI-INV/17/XII/1262,29-Dec-17,"2,250,000",100%,"2,250,000","225,000", - ,"2,475,000",LUNAS 12/01/2018,LUNAS,,
56,BPK GUNAWAN,"BIG IDDLER, Y-45 PINGGIR",MATERIAL,1909/STE/17,ZSBI-INV/17/XII/1263,18-Dec-17,"7,600,000",100%,"6,909,132","690,868", - ,"7,600,000",LUNAS 10/01/2018,LUNAS,,
57,ANUGERAH DWI PRATAMA,"PIPA ECONOMIZER P=1,5MTR (1,6MPA)",MATERIAL,177/ADP-PO/XII/2017,ZSBI-INV/17/XII/1264,20-Dec-17,"3,200,000",100%,"2,909,091","290,909", - ,"3,200,000",LUNAS 16/01/2018,LUNAS,,
